anio,fecha,tienda_id,nombre_tienda,ciudad,estado,tipo_tienda,canal_venta,categoria,producto,marca,precio_lista,descuento_pct,precio_final,cantidad,ingreso_total,es_black_friday,es_cyber_monday,es_black_november,es_promocion,tipo_promocion,segmento_cliente,canal_pago,dia_semana,es_fin_de_semana
2022,2022-11-25,19,Sam's Club Dallas,Dallas,Texas,Sam's Club,Tienda,Ropa,Zapatillas running hombre,Athletic Works,83.06,33.84,54.95,3,164.85,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2022,2022-11-13,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Alimentos,Cereal Kellogg's Corn Flakes 1Kg,Kellogg's,7.53,27.88,5.43,7,38.01,0,0,1,1,Black November,Joven,Tarjeta,6,1
2023,2023-11-21,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Tienda,Juguetes,Jenga Classic Juego de Mesa,Hasbro,29.03,47.67,15.19,7,106.33,0,0,1,1,Black November,Joven,Tarjeta,1,0
2023,2023-11-12,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Hogar,Roku 4K Streaming Stick,Roku,75.86,0.0,75.86,2,151.72,0,0,1,0,Sin promo,Adulto,Tarjeta,6,1
2023,2023-11-08,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Tienda,Ropa,Leggings deportivos mujer,Avia,23.23,0.0,23.23,3,69.69,0,0,1,0,Sin promo,Adulto,Online Pay,2,0
2022,2022-11-13,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Online,Electrónica,"LG 65"" OLED 4K Smart TV",LG,1828.33,0.0,1828.33,2,3656.66,0,0,1,0,Sin promo,Joven,Tarjeta,6,1
2022,2022-11-25,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Online,Hogar,Dyson V11 Torque Drive Vacuum,Dyson,691.29,56.99,297.32,2,594.64,1,0,1,1,Black Friday,Joven,Online Pay,4,1
2024,2024-11-26,18,Walmart Neighborhood Market Charlotte,Charlotte,North Carolina,Neighborhood Market,Online,Alimentos,Pack 24 latas Coca-Cola 355ml,Coca-Cola,11.7,25.96,8.66,6,51.96,0,0,1,1,Black November,Adulto,Tarjeta,1,0
2023,2023-11-24,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Tienda,Belleza,Perfume Calvin Klein Eternity 100ml,Calvin Klein,62.69,47.42,32.96,4,131.84,1,0,1,1,Black Friday,Joven,Efectivo,4,1
2023,2023-11-21,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Tienda,Tecnología,Dell Inspiron 14 Laptop,Dell,613.65,30.64,425.62,1,425.62,0,0,1,1,Black November,Adulto,Tarjeta,1,0
2022,2022-11-28,1,Walmart Supercenter Bentonville,Bentonville,Arkansas,Supercenter,Online,Tecnología,"HP 15.6"" Laptop Ryzen 5",HP,838.03,0.0,838.03,2,1676.06,0,1,1,0,Sin promo,Adulto,Online Pay,0,0
2024,2024-11-15,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Online,Belleza,Perfume Calvin Klein Eternity 100ml,Calvin Klein,38.5,46.76,20.5,1,20.5,0,0,1,1,Black November,Joven,Tarjeta,4,1
2024,2024-11-12,17,Walmart Neighborhood Market San Jose,San Jose,California,Neighborhood Market,Tienda,Hogar,Roku 4K Streaming Stick,Roku,75.97,0.0,75.97,2,151.94,0,0,1,0,Sin promo,Adulto,Tarjeta,1,0
2022,2022-11-25,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Online,Electrónica,Apple AirPods Pro (2nd Gen),Apple,252.78,44.07,141.37,2,282.74,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2022,2022-11-20,11,Walmart Supercenter New York,New York,New York,Supercenter,Online,Tecnología,Samsung Galaxy Tab S9,Samsung,529.88,0.0,529.88,1,529.88,0,0,1,0,Sin promo,Adulto,Tarjeta,6,1
2022,2022-11-28,19,Sam's Club Dallas,Dallas,Texas,Sam's Club,Online,Hogar,Dyson V11 Torque Drive Vacuum,Dyson,631.57,30.35,439.88,1,439.88,0,1,1,1,Cyber Monday,Adulto,Online Pay,0,0
2024,2024-11-22,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Electrónica,Microsoft Xbox Series X,Microsoft,514.18,65.96,175.03,1,175.03,1,0,1,1,Black Friday,Adulto,Online Pay,4,1
2024,2024-11-13,15,Walmart Neighborhood Market Austin,Austin,Texas,Neighborhood Market,Tienda,Electrónica,"LG 65"" OLED 4K Smart TV",LG,1948.6,0.0,1948.6,1,1948.6,0,0,1,0,Sin promo,Senior,Tarjeta,2,0
2024,2024-11-22,11,Walmart Supercenter New York,New York,New York,Supercenter,Tienda,Electrónica,Sony PlayStation 5 Slim,Sony,573.08,0.0,573.08,2,1146.16,1,0,1,0,Sin promo,Adulto,Online Pay,4,1
2024,2024-11-12,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Tienda,Ropa,Leggings deportivos mujer,Avia,57.1,23.32,43.78,4,175.12,0,0,1,1,Black November,Joven,Efectivo,1,0
2023,2023-11-24,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Tienda,Electrónica,Apple AirPods Pro (2nd Gen),Apple,216.21,67.95,69.29,1,69.29,1,0,1,1,Black Friday,Adulto,Online Pay,4,1
2022,2022-11-14,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Alimentos,Cereal Kellogg's Corn Flakes 1Kg,Kellogg's,5.78,0.0,5.78,7,40.46,0,0,1,0,Sin promo,Adulto,Tarjeta,0,0
2023,2023-11-30,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Belleza,Perfume Calvin Klein Eternity 100ml,Calvin Klein,83.84,47.37,44.12,4,176.48,0,0,1,1,Black November,Joven,Tarjeta,3,0
2024,2024-11-17,11,Walmart Supercenter New York,New York,New York,Supercenter,Online,Electrónica,Sony PlayStation 5 Slim,Sony,595.95,17.04,494.42,1,494.42,0,0,1,1,Black November,Adulto,Tarjeta,6,1
2024,2024-11-21,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Tecnología,"Lenovo IdeaPad 3 15.6""",Lenovo,345.28,36.06,220.78,2,441.56,0,0,1,1,Black November,Adulto,Tarjeta,3,0
2022,2022-11-28,18,Walmart Neighborhood Market Charlotte,Charlotte,North Carolina,Neighborhood Market,Online,Tecnología,"HP 15.6"" Laptop Ryzen 5",HP,430.79,38.5,264.93,1,264.93,0,1,1,1,Cyber Monday,Senior,Tarjeta,0,0
2022,2022-11-26,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Tienda,Electrónica,"Samsung 55"" QLED 4K Smart TV",Samsung,616.13,0.0,616.13,2,1232.26,0,0,1,0,Sin promo,Joven,Online Pay,5,1
2024,2024-11-18,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Tienda,Alimentos,Pack 24 latas Coca-Cola 355ml,Coca-Cola,12.18,0.0,12.18,3,36.54,0,0,1,0,Sin promo,Joven,Online Pay,0,0
2023,2023-11-02,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Online,Electrónica,"LG 65"" OLED 4K Smart TV",LG,1064.35,32.66,716.76,1,716.76,0,0,1,1,Black November,Joven,Online Pay,3,0
2024,2024-11-22,10,Walmart Supercenter Chicago,Chicago,Illinois,Supercenter,Online,Electrónica,Apple AirPods Pro (2nd Gen),Apple,201.94,39.66,121.85,2,243.7,1,0,1,1,Black Friday,Senior,Efectivo,4,1
2023,2023-11-06,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Tienda,Hogar,Instant Pot Duo 7-en-1 6Qt,Instant Pot,115.81,0.0,115.81,1,115.81,0,0,1,0,Sin promo,Senior,Tarjeta,0,0
2022,2022-11-25,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Tienda,Ropa,Parka acolchada invierno hombre,George,78.22,61.93,29.78,4,119.12,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2023,2023-11-09,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Belleza,Perfume Calvin Klein Eternity 100ml,Calvin Klein,25.11,0.0,25.11,1,25.11,0,0,1,0,Sin promo,Adulto,Online Pay,3,0
2024,2024-11-16,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Online,Electrónica,"Samsung 55"" QLED 4K Smart TV",Samsung,685.85,38.49,421.88,2,843.76,0,0,1,1,Black November,Adulto,Tarjeta,5,1
2023,2023-11-24,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Juguetes,Hot Wheels Mega Pista,Hot Wheels,40.17,58.69,16.59,5,82.95,1,0,1,1,Black Friday,Adulto,Online Pay,4,1
2024,2024-11-27,1,Walmart Supercenter Bentonville,Bentonville,Arkansas,Supercenter,Tienda,Tecnología,"HP 15.6"" Laptop Ryzen 5",HP,813.7,27.02,593.81,2,1187.62,0,0,1,1,Black November,Adulto,Tarjeta,2,0
2023,2023-11-10,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Juguetes,Barbie Dreamhouse 3 pisos,Mattel,177.31,46.01,95.73,4,382.92,0,0,1,1,Black November,Adulto,Tarjeta,4,1
2024,2024-11-29,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Tienda,Tecnología,"HP 15.6"" Laptop Ryzen 5",HP,679.6,32.92,455.87,2,911.74,0,0,1,1,Black November,Senior,Tarjeta,4,1
2024,2024-11-10,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Electrónica,"LG 65"" OLED 4K Smart TV",LG,1440.91,17.82,1184.1,2,2368.2,0,0,1,1,Black November,Adulto,Online Pay,6,1
2023,2023-11-26,11,Walmart Supercenter New York,New York,New York,Supercenter,Online,Ropa,Sudadera con capucha unisex,George,64.09,0.0,64.09,2,128.18,0,0,1,0,Sin promo,Senior,Tarjeta,6,1
2023,2023-11-29,1,Walmart Supercenter Bentonville,Bentonville,Arkansas,Supercenter,Online,Belleza,Plancha de cabello Remington,Remington,31.38,0.0,31.38,1,31.38,0,0,1,0,Sin promo,Joven,Tarjeta,2,0
2022,2022-11-16,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Tienda,Ropa,Leggings deportivos mujer,Avia,58.17,29.72,40.88,2,81.76,0,0,1,1,Black November,Adulto,Tarjeta,2,0
2022,2022-11-18,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Online,Electrónica,"Samsung 55"" QLED 4K Smart TV",Samsung,620.77,0.0,620.77,2,1241.54,0,0,1,0,Sin promo,Adulto,Tarjeta,4,1
2023,2023-11-15,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Tienda,Tecnología,Samsung Galaxy Tab S9,Samsung,629.42,30.84,435.3,2,870.6,0,0,1,1,Black November,Adulto,Tarjeta,2,0
2022,2022-11-25,3,Walmart Supercenter Orlando,Orlando,Florida,Supercenter,Tienda,Electrónica,Apple AirPods Pro (2nd Gen),Apple,283.01,44.78,156.28,1,156.28,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2023,2023-11-03,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Tienda,Electrónica,Apple iPhone 15 Pro 128GB,Apple,905.74,0.0,905.74,2,1811.48,0,0,1,0,Sin promo,Senior,Efectivo,4,1
2022,2022-11-17,18,Walmart Neighborhood Market Charlotte,Charlotte,North Carolina,Neighborhood Market,Tienda,Electrónica,Apple AirPods Pro (2nd Gen),Apple,220.77,0.0,220.77,2,441.54,0,0,1,0,Sin promo,Adulto,Tarjeta,3,0
2023,2023-11-23,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Tienda,Hogar,Philips Airfryer XL 4.2Qt,Philips,234.62,0.0,234.62,1,234.62,0,0,1,0,Sin promo,Joven,Efectivo,3,0
2022,2022-11-18,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Online,Juguetes,Jenga Classic Juego de Mesa,Hasbro,32.39,0.0,32.39,1,32.39,0,0,1,0,Sin promo,Senior,Tarjeta,4,1
2024,2024-11-14,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Alimentos,Cereal Kellogg's Corn Flakes 1Kg,Kellogg's,6.83,27.3,4.97,5,24.85,0,0,1,1,Black November,Joven,Tarjeta,3,0
2023,2023-11-07,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Tienda,Electrónica,Microsoft Xbox Series X,Microsoft,608.04,0.0,608.04,2,1216.08,0,0,1,0,Sin promo,Adulto,Tarjeta,1,0
2024,2024-11-07,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Tienda,Electrónica,"Samsung 55"" QLED 4K Smart TV",Samsung,918.75,0.0,918.75,2,1837.5,0,0,1,0,Sin promo,Adulto,Tarjeta,3,0
2022,2022-11-04,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Tienda,Electrónica,Apple iPhone 15 Pro 128GB,Apple,1052.91,17.43,869.41,2,1738.82,0,0,1,1,Black November,Joven,Online Pay,4,1
2022,2022-11-30,10,Walmart Supercenter Chicago,Chicago,Illinois,Supercenter,Tienda,Alimentos,Chocolates Hershey's surtidos 1Kg,Hershey's,17.89,27.33,13.0,3,39.0,0,0,1,1,Black November,Adulto,Tarjeta,2,0
2022,2022-11-08,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Online,Juguetes,Nintendo Switch Lite,Nintendo,240.95,0.0,240.95,1,240.95,0,0,1,0,Sin promo,Joven,Tarjeta,1,0
2024,2024-11-22,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Online,Electrónica,Apple AirPods Pro (2nd Gen),Apple,299.5,51.38,145.63,1,145.63,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2023,2023-11-25,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Tienda,Juguetes,LEGO Star Wars X-Wing Fighter,LEGO,90.15,49.58,45.45,1,45.45,0,0,1,1,Black November,Joven,Online Pay,5,1
2022,2022-11-04,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Online,Electrónica,Apple AirPods Pro (2nd Gen),Apple,183.71,25.01,137.76,1,137.76,0,0,1,1,Black November,Adulto,Tarjeta,4,1
2024,2024-11-05,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Online,Electrónica,Apple AirPods Pro (2nd Gen),Apple,247.26,0.0,247.26,2,494.52,0,0,1,0,Sin promo,Adulto,Tarjeta,1,0
2023,2023-11-05,12,Walmart Supercenter Atlanta,Atlanta,Georgia,Supercenter,Tienda,Tecnología,Dell Inspiron 14 Laptop,Dell,618.09,23.47,473.02,2,946.04,0,0,1,1,Black November,Joven,Tarjeta,6,1
2022,2022-11-18,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Online,Ropa,Zapatillas running hombre,Athletic Works,59.18,22.86,45.65,3,136.95,0,0,1,1,Black November,Senior,Tarjeta,4,1
2023,2023-11-14,10,Walmart Supercenter Chicago,Chicago,Illinois,Supercenter,Online,Juguetes,LEGO Star Wars X-Wing Fighter,LEGO,34.64,0.0,34.64,3,103.92,0,0,1,0,Sin promo,Joven,Tarjeta,1,0
2024,2024-11-22,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Online,Juguetes,LEGO Star Wars X-Wing Fighter,LEGO,73.01,59.92,29.26,1,29.26,1,0,1,1,Black Friday,Senior,Efectivo,4,1
2022,2022-11-25,3,Walmart Supercenter Orlando,Orlando,Florida,Supercenter,Tienda,Juguetes,Jenga Classic Juego de Mesa,Hasbro,21.19,50.57,10.48,3,31.44,1,0,1,1,Black Friday,Adulto,Online Pay,4,1
2023,2023-11-30,1,Walmart Supercenter Bentonville,Bentonville,Arkansas,Supercenter,Tienda,Ropa,Leggings deportivos mujer,Avia,58.7,47.6,30.76,2,61.52,0,0,1,1,Black November,Adulto,Online Pay,3,0
2023,2023-11-24,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Online,Electrónica,Apple AirPods Pro (2nd Gen),Apple,295.23,67.33,96.47,2,192.94,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2024,2024-11-22,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Online,Hogar,Instant Pot Duo 7-en-1 6Qt,Instant Pot,137.22,30.65,95.16,1,95.16,1,0,1,1,Black Friday,Senior,Tarjeta,4,1
2024,2024-11-03,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Tienda,Ropa,Leggings deportivos mujer,Avia,18.75,31.39,12.86,4,51.44,0,0,1,1,Black November,Adulto,Online Pay,6,1
2022,2022-11-14,3,Walmart Supercenter Orlando,Orlando,Florida,Supercenter,Online,Electrónica,"LG 65"" OLED 4K Smart TV",LG,1530.47,44.66,846.92,2,1693.84,0,0,1,1,Black November,Joven,Tarjeta,0,0
2023,2023-11-19,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Online,Ropa,Parka acolchada invierno hombre,George,108.54,0.0,108.54,1,108.54,0,0,1,0,Sin promo,Joven,Online Pay,6,1
2022,2022-11-25,4,Walmart Supercenter Dallas,Dallas,Texas,Supercenter,Online,Tecnología,Dell Inspiron 14 Laptop,Dell,965.73,31.34,663.03,2,1326.06,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2024,2024-11-04,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Tienda,Tecnología,"HP 15.6"" Laptop Ryzen 5",HP,497.88,0.0,497.88,2,995.76,0,0,1,0,Sin promo,Senior,Tarjeta,0,0
2023,2023-11-28,12,Walmart Supercenter Atlanta,Atlanta,Georgia,Supercenter,Tienda,Ropa,Zapatillas running hombre,Athletic Works,61.4,0.0,61.4,3,184.2,0,0,1,0,Sin promo,Adulto,Efectivo,1,0
2022,2022-11-08,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Tienda,Juguetes,Nintendo Switch Lite,Nintendo,262.8,47.8,137.18,2,274.36,0,0,1,1,Black November,Joven,Efectivo,1,0
2023,2023-11-24,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Tienda,Hogar,Roku 4K Streaming Stick,Roku,43.62,63.12,16.09,1,16.09,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2023,2023-11-10,4,Walmart Supercenter Dallas,Dallas,Texas,Supercenter,Online,Alimentos,Cereal Kellogg's Corn Flakes 1Kg,Kellogg's,5.1,0.0,5.1,7,35.7,0,0,1,0,Sin promo,Senior,Tarjeta,4,1
2022,2022-11-10,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Online,Juguetes,Jenga Classic Juego de Mesa,Hasbro,26.88,0.0,26.88,4,107.52,0,0,1,0,Sin promo,Joven,Online Pay,3,0
2024,2024-11-22,19,Sam's Club Dallas,Dallas,Texas,Sam's Club,Tienda,Ropa,Sudadera con capucha unisex,George,49.11,66.96,16.22,2,32.44,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2023,2023-11-24,10,Walmart Supercenter Chicago,Chicago,Illinois,Supercenter,Tienda,Belleza,Set skincare CeraVe hidratante,CeraVe,28.36,0.0,28.36,4,113.44,1,0,1,0,Sin promo,Adulto,Efectivo,4,1
2023,2023-11-17,4,Walmart Supercenter Dallas,Dallas,Texas,Supercenter,Tienda,Electrónica,"LG 65"" OLED 4K Smart TV",LG,1659.06,28.03,1193.97,1,1193.97,0,0,1,1,Black November,Adulto,Tarjeta,4,1
2024,2024-11-29,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Tienda,Hogar,Roku 4K Streaming Stick,Roku,52.92,6.39,49.54,4,198.16,0,0,1,1,Black November,Adulto,Tarjeta,4,1
2023,2023-11-24,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Online,Alimentos,Café molido Dunkin' 12oz,Dunkin',13.14,49.6,6.62,1,6.62,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2023,2023-11-30,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Tienda,Juguetes,Nintendo Switch Lite,Nintendo,263.81,39.12,160.6,1,160.6,0,0,1,1,Black November,Adulto,Tarjeta,3,0
2024,2024-11-11,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Online,Alimentos,Café molido Dunkin' 12oz,Dunkin',11.18,0.0,11.18,3,33.54,0,0,1,0,Sin promo,Joven,Efectivo,0,0
2024,2024-11-25,19,Sam's Club Dallas,Dallas,Texas,Sam's Club,Online,Alimentos,Pack 24 latas Coca-Cola 355ml,Coca-Cola,15.42,49.25,7.83,5,39.15,0,1,1,1,Cyber Monday,Senior,Tarjeta,0,0
2024,2024-11-30,11,Walmart Supercenter New York,New York,New York,Supercenter,Tienda,Electrónica,Apple iPhone 15 Pro 128GB,Apple,1156.28,0.0,1156.28,1,1156.28,0,0,1,0,Sin promo,Adulto,Tarjeta,5,1
2023,2023-11-03,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Online,Ropa,Pijama polar infantil,Wonder Nation,18.39,0.0,18.39,1,18.39,0,0,1,0,Sin promo,Joven,Efectivo,4,1
2023,2023-11-28,17,Walmart Neighborhood Market San Jose,San Jose,California,Neighborhood Market,Tienda,Hogar,NutriBullet Blender Pro 900,NutriBullet,61.44,0.0,61.44,1,61.44,0,0,1,0,Sin promo,Joven,Online Pay,1,0
2022,2022-11-25,20,Sam's Club Orlando,Orlando,Florida,Sam's Club,Online,Ropa,Parka acolchada invierno hombre,George,102.49,65.52,35.34,2,70.68,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2022,2022-11-25,17,Walmart Neighborhood Market San Jose,San Jose,California,Neighborhood Market,Tienda,Ropa,Parka acolchada invierno hombre,George,68.82,62.82,25.58,1,25.58,1,0,1,1,Black Friday,Joven,Online Pay,4,1
2024,2024-11-29,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Tienda,Belleza,Plancha de cabello Remington,Remington,50.39,0.0,50.39,3,151.17,0,0,1,0,Sin promo,Joven,Tarjeta,4,1
2024,2024-11-03,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Tienda,Electrónica,Apple AirPods Pro (2nd Gen),Apple,238.85,0.0,238.85,1,238.85,0,0,1,0,Sin promo,Adulto,Tarjeta,6,1
2022,2022-11-07,1,Walmart Supercenter Bentonville,Bentonville,Arkansas,Supercenter,Tienda,Belleza,Perfume Calvin Klein Eternity 100ml,Calvin Klein,40.56,0.0,40.56,4,162.24,0,0,1,0,Sin promo,Joven,Online Pay,0,0
2024,2024-11-22,12,Walmart Supercenter Atlanta,Atlanta,Georgia,Supercenter,Tienda,Belleza,Set skincare CeraVe hidratante,CeraVe,17.02,51.68,8.22,3,24.66,1,0,1,1,Black Friday,Senior,Tarjeta,4,1
2022,2022-11-10,7,Walmart Supercenter Los Angeles,Los Angeles,California,Supercenter,Tienda,Alimentos,Aceite vegetal Great Value 1.8L,Great Value,3.83,0.0,3.83,4,15.32,0,0,1,0,Sin promo,Adulto,Tarjeta,3,0
2022,2022-11-25,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Alimentos,Cereal Kellogg's Corn Flakes 1Kg,Kellogg's,3.67,59.79,1.48,3,4.44,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2023,2023-11-06,8,Walmart Supercenter San Diego,San Diego,California,Supercenter,Tienda,Belleza,Perfume Calvin Klein Eternity 100ml,Calvin Klein,57.5,44.41,31.97,1,31.97,0,0,1,1,Black November,Adulto,Tarjeta,0,0
2022,2022-11-25,20,Sam's Club Orlando,Orlando,Florida,Sam's Club,Tienda,Juguetes,Jenga Classic Juego de Mesa,Hasbro,15.85,37.14,9.96,4,39.84,1,0,1,1,Black Friday,Joven,Tarjeta,4,1
2022,2022-11-29,20,Sam's Club Orlando,Orlando,Florida,Sam's Club,Tienda,Alimentos,Aceite vegetal Great Value 1.8L,Great Value,6.32,0.0,6.32,1,6.32,0,0,1,0,Sin promo,Adulto,Tarjeta,1,0
2024,2024-11-16,13,Walmart Supercenter Las Vegas,Las Vegas,Nevada,Supercenter,Tienda,Alimentos,Aceite vegetal Great Value 1.8L,Great Value,5.25,26.15,3.88,1,3.88,0,0,1,1,Black November,Joven,Tarjeta,5,1
2022,2022-11-20,16,Walmart Neighborhood Market Tampa,Tampa,Florida,Neighborhood Market,Online,Juguetes,Barbie Dreamhouse 3 pisos,Mattel,143.9,27.19,104.77,1,104.77,0,0,1,1,Black November,Senior,Online Pay,6,1
2024,2024-11-22,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Tienda,Ropa,Pijama polar infantil,Wonder Nation,25.18,66.07,8.54,4,34.16,1,0,1,1,Black Friday,Joven,Online Pay,4,1
