fecha,gym_id,sede,ciudad,provincia,membership,segmento_cliente,cliente_id,edad,genero,fecha_alta,antiguedad_meses,activo,promocion,canal,dispositivo,clima,feriado,indice_competencia,tendencia_busqueda,visitas_mes,tasa_participacion_clases,sesiones_personal_trainer,ingreso_membresia,ingreso_clases,ingreso_personal_trainer,ingreso_retail,ingreso_total,costo_staff,costo_alquiler,costo_servicios,costo_marketing,capex_asignado,costo_total,profit,nps,satisfaccion,riesgo_churn,cancelaciones,referidos,ocupacion,downtime_equipos
2024-01-07,GYM008,oberFiting - Salta,Salta,Salta,Mensual,Recurrente,C10343,32,F,2023-07-16,6,No,No,App,Mobile,Caluroso,No,1.03,14,11,0.384,1,20000.0,1677.68,10786.5,446.19,32910.37,9208.48,7107.1,2008.26,2006.22,5000,25330.06,7580.31,52,8,0.112,1,0,0.73,0.023
2024-01-08,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Trimestral,Recurrente,C08882,43,M,2023-08-12,5,Sí,No,App,Desktop,Nublado,No,1.1,49,8,0.276,0,54000.0,2017.13,0.0,2453.09,58470.22,7855.39,5386.31,2405.75,1346.56,0,16994.01,41476.21,4,6,0.232,0,1,0.64,0.017
2024-01-08,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Premium,Recurrente,C11098,35,M,2023-09-09,4,Sí,No,Web,Mobile,Nublado,No,0.96,45,10,0.355,3,35000.0,1262.84,23480.2,1970.93,61713.97,10302.57,5628.52,2556.85,2956.55,0,21444.49,40269.48,40,6,0.184,0,0,0.7,0.002
2024-01-08,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Mensual,Recurrente,C08321,19,M,2023-10-02,3,Sí,Sí,App,Mobile,Caluroso,No,0.76,57,4,0.138,2,17000.0,1078.22,19929.49,4185.59,42193.3,7513.4,6556.05,3764.18,2936.12,0,20769.75,21423.55,54,9,0.276,0,0,0.57,0.007
2024-01-08,GYM003,oberFiting - Recoleta,Recoleta,CABA,Mensual,Nuevo,C01635,35,F,2023-10-27,3,Sí,No,App,Mobile,Nublado,No,0.96,42,10,0.51,0,20000.0,2499.21,0.0,664.47,23163.68,9396.51,6805.94,2051.67,2263.88,0,20518.0,2645.68,42,8,0.199,0,1,0.7,0.06
2024-01-08,GYM003,oberFiting - Recoleta,Recoleta,CABA,Mensual,VIP,C05238,45,F,2023-09-20,4,Sí,No,App,Mobile,Soleado,No,0.96,32,5,0.304,2,20000.0,676.5,18102.49,5328.72,44107.71,9805.37,6517.55,2434.61,1953.86,0,20711.39,23396.32,68,8,0.24,0,0,0.55,0.0
2024-01-08,GYM008,oberFiting - Salta,Salta,Salta,Anual,Recurrente,C05084,33,M,2023-09-13,4,Sí,No,Presencial,Desktop,Nublado,No,0.98,73,10,0.224,2,190000.0,1718.96,12337.68,9245.08,213301.72,11082.17,6119.41,3082.51,570.13,0,20854.22,192447.5,50,8,0.198,0,0,0.7,0.003
2024-01-09,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Premium,Recurrente,C07363,33,M,2023-12-28,1,No,No,App,Desktop,Soleado,No,0.92,77,10,0.671,3,35000.0,2161.62,21418.92,2372.91,60953.45,8441.7,5246.14,3057.72,1721.43,0,18466.99,42486.46,58,8,0.153,1,0,0.7,0.024
2024-01-09,GYM008,oberFiting - Salta,Salta,Salta,Anual,Nuevo,C02296,35,F,2023-12-21,1,No,No,Web,Mobile,Soleado,No,1.01,13,3,0.433,4,190000.0,3151.43,34921.78,1230.62,229303.83,7674.59,5668.52,2489.03,1362.55,0,17194.69,212109.14,83,6,0.397,1,0,0.49,0.001
2024-01-09,GYM008,oberFiting - Salta,Salta,Salta,Premium,Recurrente,C03381,39,M,2023-08-23,5,Sí,No,App,Mobile,Soleado,No,0.98,55,12,0.351,3,35000.0,2062.98,21423.21,2402.04,60888.23,11921.65,5617.0,2732.18,-524.61,0,19746.22,41142.01,86,9,0.145,0,0,0.76,0.004
2024-01-10,GYM006,oberFiting - Mendoza,Mendoza,Mendoza,Mensual,Recurrente,C02923,30,X,2023-08-13,5,Sí,No,Presencial,Desktop,Nublado,No,0.86,83,10,0.649,1,20000.0,2916.83,9136.91,1528.25,33581.99,10812.79,5857.0,2739.33,881.33,5000,25290.45,8291.54,47,7,0.105,0,0,0.7,0.016
2024-01-10,GYM005,oberFiting - Rosario,Rosario,Santa Fe,Trimestral,Nuevo,C08939,16,F,2023-09-13,4,No,No,App,Mobile,Nublado,No,1.0,41,4,0.432,0,54000.0,3125.93,0.0,1763.85,58889.78,9805.24,7263.6,2920.44,1584.25,3000,24573.53,34316.25,30,8,0.377,1,0,0.52,0.027
2024-01-10,GYM008,oberFiting - Salta,Salta,Salta,Trimestral,Recurrente,C06514,53,F,2024-01-09,0,Sí,No,Presencial,Tablet,Lluvioso,No,0.98,93,0,0.371,1,54000.0,876.37,10590.33,1102.48,66569.18,8454.94,6045.38,3696.92,640.81,0,18838.05,47731.13,14,5,0.383,0,0,0.38,0.061
2024-01-11,GYM002,oberFiting - Belgrano,Belgrano,CABA,Trimestral,Nuevo,C00356,39,M,2023-12-31,1,No,Sí,App,Mobile,Soleado,No,0.96,53,7,0.568,1,48600.0,2820.49,6822.93,2723.89,60967.31,8629.87,6573.04,2920.65,3346.98,0,21470.54,39496.77,11,6,0.303,1,1,0.66,0.019
2024-01-11,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Trimestral,Recurrente,C05991,21,M,2023-12-13,1,Sí,No,App,Mobile,Caluroso,No,0.88,47,8,0.585,2,54000.0,4217.85,12563.79,1344.73,72126.37,9821.66,5675.85,3399.43,2229.16,3000,24126.1,48000.27,14,8,0.202,0,1,0.64,0.049
2024-01-11,GYM003,oberFiting - Recoleta,Recoleta,CABA,Anual,Recurrente,C05840,25,F,2023-12-21,1,Sí,Sí,Presencial,Mobile,Soleado,No,0.99,49,11,0.156,0,180500.0,1037.17,0.0,1684.39,183221.56,10078.21,5832.48,2288.55,1164.06,3000,22363.3,160858.26,85,7,0.184,0,0,0.78,0.035
2024-01-12,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Trimestral,Recurrente,C08128,47,M,2023-12-03,1,Sí,No,App,Desktop,Lluvioso,No,0.95,61,5,0.351,0,54000.0,1738.42,0.0,2887.36,58625.78,7314.61,5595.24,2023.51,2039.08,5000,21972.44,36653.34,47,8,0.285,0,0,0.53,0.011
2024-01-12,GYM001,oberFiting - Palermo,Palermo,CABA,Premium,VIP,C05230,25,M,2023-11-20,2,Sí,No,Presencial,Mobile,Lluvioso,No,1.11,49,9,0.758,4,35000.0,1886.26,32888.34,1450.46,71225.06,10419.0,6095.5,2190.99,1145.87,5000,24851.36,46373.7,52,6,0.164,0,0,0.65,0.016
2024-01-13,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Trimestral,Recurrente,C06489,35,F,2023-12-10,1,Sí,No,App,Mobile,Soleado,No,1.03,38,6,0.499,0,54000.0,3091.33,0.0,4807.08,61898.41,8521.1,6232.53,2765.13,1695.8,0,19214.56,42683.85,36,7,0.25,0,0,0.58,0.044
2024-01-13,GYM006,oberFiting - Mendoza,Mendoza,Mendoza,Trimestral,Recurrente,C05712,38,M,2023-10-22,3,Sí,No,Presencial,Mobile,Frío,No,0.95,54,4,0.612,1,54000.0,4607.32,8527.2,2445.92,69580.44,4516.91,6770.67,3796.6,1089.74,3000,19173.92,50406.52,27,9,0.279,0,0,0.5,0.016
2024-01-14,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Mensual,Nuevo,C01451,28,F,2023-11-06,2,Sí,No,App,Mobile,Nublado,No,0.99,91,5,0.277,1,20000.0,1296.15,10230.01,2487.13,34013.29,9053.76,4753.83,2282.61,1602.68,0,17692.88,16320.41,54,7,0.322,0,0,0.55,0.033
2024-01-14,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Premium,Recurrente,C08915,26,M,2023-12-28,1,Sí,No,App,Tablet,Caluroso,No,1.02,49,8,0.494,5,35000.0,3714.56,32602.66,1115.07,72432.29,11317.7,6567.46,2363.84,1625.0,5000,26874.0,45558.29,61,9,0.211,0,1,0.64,0.013
2024-01-14,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Premium,Recurrente,C11048,31,M,2023-12-06,1,Sí,Sí,Web,Mobile,Nublado,No,0.95,69,12,0.242,2,31500.0,598.9,21039.06,872.6,54010.56,8053.19,7127.33,2456.2,2190.73,5000,24827.45,29183.11,77,8,0.156,0,0,0.81,0.027
2024-01-14,GYM003,oberFiting - Recoleta,Recoleta,CABA,Mensual,Recurrente,C05448,22,F,2023-08-17,5,Sí,Sí,App,Desktop,Nublado,No,1.04,58,5,0.651,1,19000.0,2022.88,8512.48,2775.41,32310.77,7780.02,4774.19,2493.13,2903.19,5000,22950.53,9360.24,32,6,0.205,0,0,0.6,0.023
2024-01-15,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Trimestral,Nuevo,C11975,41,M,2023-09-11,4,Sí,No,App,Mobile,Frío,No,0.95,51,4,0.244,1,54000.0,2174.65,11286.12,3658.07,71118.84,7118.48,5382.09,3128.32,492.1,0,16120.99,54997.85,21,8,0.396,0,1,0.5,0.026
2024-01-15,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Mensual,VIP,C04117,24,F,2023-08-17,5,Sí,No,App,Mobile,Nublado,No,1.06,84,5,0.233,0,20000.0,2047.26,0.0,1266.86,33314.12,10372.85,5166.12,2081.2,2175.99,5000,24796.16,8517.96,28,8,0.247,0,0,0.55,0.024
2024-01-15,GYM006,oberFiting - Mendoza,Mendoza,Mendoza,Anual,Recurrente,C05388,44,M,2023-09-22,4,Sí,No,App,Mobile,Lluvioso,No,1.13,50,10,0.554,1,190000.0,1989.33,11322.14,411.21,203722.68,7781.41,5333.87,2259.64,2018.58,5000,22393.5,181329.18,59,8,0.165,0,0,0.68,0.03
2024-01-15,GYM001,oberFiting - Palermo,Palermo,CABA,Mensual,Nuevo,C06124,29,F,2023-07-21,6,No,No,Web,Mobile,Lluvioso,No,1.1,64,2,0.455,0,20000.0,2294.8,0.0,6899.27,29194.07,9247.42,6189.08,3028.48,2274.39,0,20739.37,8454.7,73,8,0.365,1,0,0.44,0.016
2024-01-15,GYM001,oberFiting - Palermo,Palermo,CABA,Mensual,Recurrente,C06442,36,M,2023-10-31,3,Sí,No,App,Mobile,Caluroso,No,0.94,59,3,0.177,1,20000.0,442.54,9794.39,5914.04,36150.97,10033.2,6024.2,2614.73,1639.75,0,20311.88,15839.09,49,7,0.292,0,0,0.49,0.004
2024-01-16,GYM006,oberFiting - Mendoza,Mendoza,Mendoza,Mensual,VIP,C06042,33,F,2023-09-12,4,Sí,No,Presencial,Mobile,Nublado,No,1.11,42,4,0.28,0,20000.0,2118.06,0.0,2367.94,34486.0,8392.37,5324.01,3615.57,2743.89,0,20075.84,14410.16,62,6,0.262,0,0,0.52,0.018
2024-01-16,GYM008,oberFiting - Salta,Salta,Salta,Anual,Recurrente,C03906,33,F,2023-12-04,1,Sí,No,Web,Desktop,Nublado,No,0.99,72,6,0.509,1,190000.0,3460.11,10270.79,1567.08,205297.98,8945.42,5307.38,1426.03,1696.83,0,17375.66,187922.32,15,7,0.249,0,0,0.58,0.046
2024-01-17,GYM002,oberFiting - Belgrano,Belgrano,CABA,Trimestral,Recurrente,C08124,24,M,2023-07-27,6,Sí,No,App,Mobile,Soleado,No,0.9,74,10,0.119,2,54000.0,290.1,20154.01,1349.3,75793.41,10011.03,4974.28,3101.23,1048.08,0,19134.62,56658.79,26,8,0.208,0,0,0.7,0.021
2024-01-17,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Premium,Nuevo,C09337,37,M,2023-12-04,1,Sí,No,App,Mobile,Soleado,No,0.84,71,8,0.156,2,35000.0,1079.94,20757.79,6727.69,63565.42,11438.91,6687.88,2029.61,956.74,5000,26113.14,37452.28,55,7,0.324,0,0,0.64,0.02
2024-01-17,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Trimestral,Recurrente,C02768,18,X,2023-09-29,4,Sí,No,App,Mobile,Nublado,No,1.0,47,5,0.405,3,54000.0,1137.75,23256.25,4438.99,82832.99,4798.48,6499.93,2482.86,232.39,0,14013.66,68819.33,52,7,0.279,0,0,0.55,0.034
2024-01-17,GYM001,oberFiting - Palermo,Palermo,CABA,Premium,Recurrente,C00435,34,F,2023-10-01,3,Sí,No,Web,Mobile,Caluroso,No,0.87,74,9,0.296,4,35000.0,2148.24,46375.33,569.99,84093.56,5832.85,6473.57,2575.13,3049.59,0,17931.14,66162.42,100,8,0.21,0,0,0.67,0.009
2024-01-17,GYM008,oberFiting - Salta,Salta,Salta,Premium,Recurrente,C04948,21,F,2023-09-08,4,Sí,No,Web,Mobile,Caluroso,No,1.03,31,8,0.232,5,35000.0,1654.61,35551.46,90.7,72296.77,9367.85,5907.78,2531.41,2046.89,0,19853.93,52442.84,31,10,0.237,0,1,0.64,0.015
2024-01-18,GYM002,oberFiting - Belgrano,Belgrano,CABA,Mensual,Recurrente,C06600,37,F,2023-11-06,2,Sí,No,Presencial,Desktop,Lluvioso,No,0.94,62,10,0.556,1,20000.0,3117.02,11208.04,1180.25,35505.31,8128.18,5340.42,1480.13,799.23,0,15747.96,19757.35,36,8,0.114,0,0,0.68,0.015
2024-01-18,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Mensual,Recurrente,C06428,38,M,2023-11-06,2,Sí,No,Web,Tablet,Lluvioso,No,0.92,65,1,0.828,3,20000.0,3219.81,20452.15,3192.16,46864.12,6591.4,5871.66,1643.92,1219.21,0,15326.19,31537.93,61,7,0.267,0,0,0.41,0.008
2024-01-18,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Mensual,Recurrente,C10585,29,F,2023-09-07,4,Sí,No,Presencial,Mobile,Soleado,No,1.01,64,5,0.135,1,20000.0,829.86,6331.13,810.09,27971.08,8056.43,6645.98,2330.5,2193.04,0,19225.95,8745.13,33,9,0.256,0,0,0.55,0.005
2024-01-18,GYM001,oberFiting - Palermo,Palermo,CABA,Mensual,Recurrente,C04612,46,M,2024-01-06,0,No,No,App,Desktop,Lluvioso,No,0.82,51,9,0.295,2,20000.0,1512.68,15643.76,5657.63,42814.07,8001.32,6283.53,1630.3,1346.22,0,17261.37,25552.7,34,7,0.161,1,0,0.65,0.027
2024-01-18,GYM008,oberFiting - Salta,Salta,Salta,Trimestral,Nuevo,C02221,27,M,2023-09-03,4,Sí,No,App,Mobile,Nublado,No,0.94,57,8,0.594,0,54000.0,2429.22,0.0,2686.12,59115.34,6901.38,5075.71,2487.98,2543.04,3000,20008.11,39107.23,59,9,0.281,0,0,0.64,0.03
2024-01-19,GYM006,oberFiting - Mendoza,Mendoza,Mendoza,Mensual,Recurrente,C08146,24,F,2023-12-17,1,Sí,No,App,Mobile,Lluvioso,No,1.16,11,2,0.171,0,20000.0,516.28,0.0,3769.15,24285.43,11018.55,6689.12,3032.34,764.98,3000,24504.99,-219.56,57,8,0.313,0,0,0.44,0.01
2024-01-19,GYM001,oberFiting - Palermo,Palermo,CABA,Mensual,Recurrente,C10544,31,F,2023-10-04,3,Sí,No,Web,Mobile,Nublado,No,1.19,59,8,0.556,0,20000.0,4180.72,0.0,2964.72,27145.44,8357.96,6636.04,3072.85,1324.35,0,19391.2,7754.24,28,6,0.154,0,0,0.64,0.019
2024-01-20,GYM002,oberFiting - Belgrano,Belgrano,CABA,Mensual,Recurrente,C02152,38,F,2023-12-31,1,No,No,App,Mobile,Lluvioso,No,0.99,69,3,0.307,2,20000.0,2745.73,21760.63,1264.27,45770.63,8689.49,6828.84,2007.18,1437.82,0,18963.33,26807.3,64,9,0.279,1,0,0.47,0.01
2024-01-20,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Anual,Recurrente,C05524,43,X,2023-08-31,5,No,No,App,Mobile,Nublado,No,0.93,46,11,0.097,0,190000.0,309.72,0.0,8180.76,198490.48,8933.84,5904.45,3090.84,2918.97,3000,23848.1,174642.38,52,7,0.19,1,0,0.73,0.033
2024-01-20,GYM008,oberFiting - Salta,Salta,Salta,Premium,VIP,C00324,31,F,2023-11-24,2,Sí,Sí,Llamada,Mobile,Nublado,No,0.86,65,11,0.846,6,31500.0,5908.06,45970.32,955.12,94333.5,10829.89,5530.92,1953.61,3383.62,0,21698.04,72635.46,92,7,0.115,0,0,0.78,0.025
2024-01-21,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Mensual,Recurrente,C08620,33,F,2023-08-05,5,Sí,No,Web,Mobile,Lluvioso,No,1.09,78,5,0.283,1,20000.0,2247.22,7363.74,2801.03,32411.99,8020.65,6299.24,1330.65,1935.13,3000,20585.67,11826.32,78,6,0.242,0,0,0.53,0.004
2024-01-22,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Mensual,Recurrente,C10515,37,M,2023-11-29,2,Sí,No,Web,Mobile,Nublado,No,0.9,50,4,0.514,2,20000.0,2630.15,23204.93,2423.74,48258.82,10647.67,6965.42,2324.24,2313.8,0,22251.13,26007.69,33,6,0.239,0,1,0.52,0.015
2024-01-22,GYM002,oberFiting - Belgrano,Belgrano,CABA,Anual,VIP,C02313,30,F,2023-08-10,5,Sí,No,Web,Desktop,Lluvioso,No,1.02,52,7,0.266,0,190000.0,1638.08,0.0,7871.66,201509.74,7704.33,5204.26,2031.72,2318.72,5000,22259.03,179250.71,28,9,0.253,0,0,0.59,0.036
2024-01-22,GYM005,oberFiting - Rosario,Rosario,Santa Fe,Mensual,Recurrente,C04601,50,F,2023-09-05,4,Sí,No,App,Mobile,Nublado,No,1.12,23,4,0.489,2,20000.0,2400.35,22952.74,2394.42,47747.51,9094.55,5229.11,2262.95,1056.45,0,17643.06,30104.45,63,8,0.241,0,0,0.52,0.011
2024-01-23,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Trimestral,Nuevo,C10684,40,F,2023-08-17,5,Sí,No,Web,Mobile,Lluvioso,No,0.98,70,2,0.217,0,54000.0,804.76,0.0,6156.95,60961.71,8191.45,6612.61,2347.79,1995.09,0,19146.94,41814.77,45,8,0.438,0,0,0.44,0.008
2024-01-23,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Premium,Recurrente,C10293,39,F,2023-08-30,5,Sí,Sí,App,Desktop,Frío,No,1.0,60,7,0.542,2,33250.0,1311.17,19798.07,2409.22,56768.46,9083.43,6447.37,2131.86,1898.32,5000,24560.98,32207.48,61,8,0.226,0,0,0.64,0.008
2024-01-23,GYM003,oberFiting - Recoleta,Recoleta,CABA,Trimestral,VIP,C03231,26,M,2023-12-30,1,Sí,No,App,Mobile,Nublado,No,0.99,49,8,0.616,0,54000.0,5236.79,0.0,2496.15,63732.94,9206.07,6929.2,3088.37,2614.5,3000,24838.14,38894.8,40,6,0.198,0,0,0.64,0.016
2024-01-23,GYM005,oberFiting - Rosario,Rosario,Santa Fe,Anual,Nuevo,C02004,45,F,2023-08-16,5,No,No,App,Mobile,Frío,No,0.87,48,7,0.741,1,190000.0,4307.41,7113.66,4851.84,206272.91,8639.13,7309.65,3264.01,2688.76,0,21901.55,184371.36,63,7,0.286,1,0,0.59,0.017
2024-01-24,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Mensual,Recurrente,C01356,33,M,2024-01-14,0,Sí,No,App,Mobile,Caluroso,No,1.03,64,1,0.234,0,20000.0,910.71,0.0,2097.08,23007.79,6900.3,6415.56,2540.81,656.6,0,16513.27,6494.52,53,7,0.327,0,1,0.43,0.003
2024-01-24,GYM007,oberFiting - La Plata,La Plata,Buenos Aires,Trimestral,Recurrente,C06391,36,M,2023-08-28,5,Sí,No,App,Mobile,Frío,No,1.05,9,10,0.292,0,54000.0,835.34,0.0,1918.94,56754.28,10548.83,7580.35,2109.6,724.06,0,20962.84,35791.44,43,9,0.191,0,0,0.68,0.014
2024-01-24,GYM003,oberFiting - Recoleta,Recoleta,CABA,Anual,VIP,C01635,52,F,2023-12-28,1,Sí,No,Web,Mobile,Soleado,No,0.93,55,8,0.179,2,190000.0,689.29,21631.25,10907.2,225227.74,9645.51,6454.85,2878.41,2485.38,0,21464.15,203763.59,37,9,0.242,0,0,0.64,0.099
2024-01-24,GYM003,oberFiting - Recoleta,Recoleta,CABA,Anual,Recurrente,C09434,39,M,2023-08-05,5,Sí,No,Web,Desktop,Frío,No,1.04,46,8,0.313,4,190000.0,1877.44,30349.69,2839.65,225066.78,9022.73,4370.17,1762.16,1158.6,0,16313.66,208753.12,51,6,0.229,0,1,0.62,0.022
2024-01-25,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Trimestral,Recurrente,C04542,48,F,2023-10-31,3,No,Sí,App,Mobile,Soleado,No,1.03,16,8,0.564,0,45900.0,3231.08,0.0,5398.74,54529.82,9980.92,6682.05,1995.05,3538.38,0,22196.4,32333.42,25,7,0.204,1,0,0.69,0.017
2024-01-25,GYM002,oberFiting - Belgrano,Belgrano,CABA,Mensual,Recurrente,C10761,16,F,2023-11-09,2,Sí,No,Presencial,Mobile,Soleado,No,0.86,42,7,0.165,1,20000.0,823.49,8314.84,2129.2,31267.53,7436.62,7843.97,2251.84,1012.01,0,18544.44,12723.09,77,8,0.213,0,1,0.61,0.001
2024-01-25,GYM001,oberFiting - Palermo,Palermo,CABA,Mensual,Recurrente,C06769,34,M,2023-09-16,4,Sí,No,Presencial,Desktop,Nublado,No,0.98,56,0,0.328,0,20000.0,2359.52,0.0,850.78,23210.3,10292.57,5474.9,1679.65,2150.07,3000,22597.19,613.11,20,6,0.337,0,0,0.4,0.085
2024-01-25,GYM003,oberFiting - Recoleta,Recoleta,CABA,Trimestral,Nuevo,C02617,30,F,2023-11-30,2,Sí,No,Presencial,Mobile,Lluvioso,No,0.99,57,5,0.737,0,54000.0,3718.04,0.0,1639.73,59357.77,8322.15,4951.16,2519.83,508.1,0,16301.24,43056.53,41,8,0.326,0,0,0.53,0.024
2024-01-25,GYM008,oberFiting - Salta,Salta,Salta,Anual,Nuevo,C02628,16,M,2023-10-14,3,Sí,No,Web,Tablet,Nublado,No,0.92,44,9,0.775,0,190000.0,3293.32,0.0,3444.63,196737.95,9447.2,6301.34,2634.84,1513.59,5000,24896.97,171840.98,55,6,0.243,0,0,0.67,0.017
2024-01-26,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Anual,Recurrente,C05195,34,F,2023-12-03,1,Sí,No,Web,Mobile,Nublado,No,0.95,14,7,0.574,1,190000.0,4731.38,10956.45,1903.52,207591.35,9565.15,6302.45,2997.11,1446.9,5000,25311.61,182279.74,46,8,0.223,0,0,0.61,0.011
2024-01-27,GYM001,oberFiting - Palermo,Palermo,CABA,Mensual,Recurrente,C03882,38,F,2023-12-27,1,Sí,No,Presencial,Mobile,Soleado,No,1.09,50,8,0.288,0,20000.0,1708.96,0.0,2710.58,24419.54,8271.01,6337.6,2069.65,1981.45,0,18659.71,5759.83,37,8,0.181,0,0,0.64,0.067
